M4A4 | Neo-Noir (Well-Worn)
Glock-18 | Nuclear Garden (Field-Tested)
PP-Bizon | Embargo (Battle-Scarred)
M4A4 | Faded Zebra (Well-Worn)
XM1014 | Teclu Burner (Minimal Wear)
AK-47 | Vulcan (Battle-Scarred)
XM1014 | Teclu Burner (Field-Tested)
StatTrak™ Five-SeveN | Flame Test (Factory New)
StatTrak™ Five-SeveN | Angry Mob (Battle-Scarred)
Glock-18 | Umbral Rabbit (Minimal Wear)
StatTrak™ Five-SeveN | Fowl Play (Well-Worn)
Tec-9 | Avalanche (Field-Tested)
MAG-7 | Monster Call (Factory New)
G3SG1 | Black Sand (Minimal Wear)
StatTrak™ FAMAS | Djinn (Well-Worn)
CZ75-Auto | Victoria (Minimal Wear)
P90 | Leather (Field-Tested)
M4A4 | The Battlestar (Field-Tested)
Glock-18 | Wasteland Rebel (Battle-Scarred)
StatTrak™ P90 | Shapewood (Battle-Scarred)
StatTrak™ Five-SeveN | Retrobution (Well-Worn)
M4A1-S | Golden Coil (Battle-Scarred)
P250 | Cartel (Field-Tested)
StatTrak™ P90 | Shallow Grave (Battle-Scarred)
StatTrak™ Galil AR | Connexion (Well-Worn)
P90 | Shallow Grave (Well-Worn)
MP7 | Impire (Well-Worn)
G3SG1 | The Executioner (Field-Tested)
Nova | Clear Polymer (Battle-Scarred)
UMP-45 | Primal Saber (Minimal Wear)
AUG | Arctic Wolf (Battle-Scarred)
Five-SeveN | Nightshade (Field-Tested)
StatTrak™ Five-SeveN | Buddy (Battle-Scarred)
StatTrak™ P90 | Vent Rush (Well-Worn)
P250 | See Ya Later (Well-Worn)
StatTrak™ SSG 08 | Ghost Crusader (Battle-Scarred)
CZ75-Auto | Xiangliu (Battle-Scarred)
Five-SeveN | Angry Mob (Well-Worn)
P250 | Cartel (Minimal Wear)
MAG-7 | Copper Coated (Well-Worn)
SSG 08 | Bloodshot (Battle-Scarred)
StatTrak™ Desert Eagle | Naga (Well-Worn)
SG 553 | Integrale (Battle-Scarred)
StatTrak™ P90 | Shapewood (Well-Worn)
StatTrak™ M4A1-S | Emphorosaur-S (Well-Worn)
SG 553 | Colony IV (Well-Worn)
